,district,member_id,name,party,state
0,5,A000374,Ralph Abraham,R,LA
1,12,A000370,Alma Adams,D,NC
2,4,A000055,Robert B. Aderholt,R,AL
3,31,A000371,Pete Aguilar,D,CA
4,12,A000372,Rick Allen,R,GA
5,3,A000367,Justin Amash,R,MI
6,2,A000369,Mark Amodei,R,NV
7,19,A000375,Jodey Arrington,R,TX
8,36,B001291,Brian Babin,R,TX
9,2,B001298,Don Bacon,R,NE
10,3,B001299,Jim Banks,R,IN
11,11,B001269,Lou Barletta,R,PA
12,6,B001282,Andy Barr,R,KY
13,44,B001300,Nanette Barragán,D,CA
14,6,B000213,Joe L. Barton,R,TX
15,37,B001270,Karen Bass,D,CA
16,3,B001281,Joyce Beatty,D,OH
17,7,B001287,Ami Bera,D,CA
18,1,B001301,Jack Bergman,R,MI
19,8,B001292,Donald Beyer,D,VA
20,5,B001302,Andy Biggs,R,AZ
21,12,B001257,Gus Bilirakis,R,FL
22,2,B000490,Sanford D. Bishop Jr.,D,GA
23,8,B001293,Mike Bishop,R,MI
24,1,B001250,Rob Bishop,R,UT
25,6,B001273,Diane Black,R,TN
26,7,B001243,Marsha Blackburn,R,TN
27,1,B001294,Rod Blum,R,IA
28,3,B000574,Earl Blumenauer,D,OR
29,1,B001303,Lisa Blunt Rochester,D,DE
30,1,B001278,Suzanne Bonamici,D,OR
31,12,B001295,Mike Bost,R,IL
32,13,B001296,Brendan Boyle,D,PA
33,1,B001227,Robert A. Brady,D,PA
34,8,B000755,Kevin Brady,R,TX
35,7,B001290,David A. Brat,R,VA
36,1,B001283,Jim Bridenstine,R,OK
37,5,B001274,Mo Brooks,R,AL
38,5,B001284,Susan Brooks,R,IN
39,4,B001304,Anthony Brown,D,MD
40,26,B001285,Julia Brownley,D,CA
41,16,B001260,Vern Buchanan,R,FL
42,4,B001297,Ken Buck,R,CO
43,8,B001275,Larry Bucshon,R,IN
44,13,B001305,Ted Budd,R,NC
45,26,B001248,Michael C. Burgess,R,TX
46,17,B001286,Cheri Bustos,D,IL
47,1,B001251,G. K. Butterfield,D,NC
48,1,B001289,Bradley Byrne,R,AL
49,42,C000059,Ken Calvert,R,CA
50,7,C001037,Michael E. Capuano,D,MA
51,24,C001112,Salud Carbajal,D,CA
52,29,C001097,Tony Cardenas,D,CA
53,7,C001072,André Carson,D,IN
54,1,C001103,Buddy Carter,R,GA
55,31,C001051,John Carter,R,TX
56,17,C001090,Matt Cartwright,D,PA
57,14,C001066,Kathy Castor,D,FL
58,20,C001091,Joaquín Castro,D,TX
59,1,C000266,Steven J. Chabot,R,OH
60,1,C001109,Liz Cheney,R,WY
61,27,C001080,Judy Chu,D,CA
62,1,C001084,David Cicilline,D,RI
63,5,C001101,Katherine Clark,D,MA
64,9,C001067,Yvette D. Clarke,D,NY
65,1,C001049,William Lacy Clay,D,MO
66,5,C001061,Emanuel Cleaver II,D,MO
67,6,C000537,James E. Clyburn,D,SC
68,6,C001077,Mike Coffman,R,CO
69,9,C001068,Steve Cohen,D,TN
70,4,C001053,Tom Cole,R,OK
71,9,C001093,Doug Collins,R,GA
72,27,C001092,Chris Collins,R,NY
73,1,C001108,James Comer,R,KY
74,10,C001105,Barbara Comstock,R,VA
75,11,C001062,K. Michael Conaway,R,TX
76,11,C001078,Gerald E. Connolly,D,VA
77,13,C000714,John Conyers Jr.,D,MI
78,8,C001094,Paul Cook,R,CA
79,5,C000754,Jim Cooper,D,TN
80,46,C001110,J. Luis Correa,D,CA
81,16,C001059,Jim Costa,D,CA
82,6,C001106,Ryan Costello,R,PA
83,2,C001069,Joe Courtney,D,CT
84,1,C001096,Kevin Cramer,R,ND
85,1,C001087,Rick Crawford,R,AR
86,13,C001111,Charlie Crist,D,FL
87,14,C001038,Joseph Crowley,D,NY
88,28,C001063,Henry Cuellar,D,TX
89,7,C001048,John Culberson,R,TX
90,7,C000984,Elijah E. Cummings,D,MD
91,26,C001107,Carlos Curbelo,R,FL
92,3,C001114,John Curtis,R,UT
93,8,D000626,Warren Davidson,R,OH
94,53,D000598,Susan A. Davis,D,CA
95,7,D000096,Danny K. Davis,D,IL
96,13,D000619,Rodney Davis,R,IL
97,4,D000191,Peter A. DeFazio,D,OR
98,1,D000197,Diana DeGette,D,CO
99,6,D000620,John Delaney,D,MD
100,3,D000216,Rosa DeLauro,D,CT
101,1,D000617,Suzan K. DelBene,D,WA
102,10,D000627,Val Demings,D,FL
103,10,D000612,Jeffrey Denham,R,CA
104,15,D000604,Charlie Dent,R,PA
